# metric_direction: higher_is_better
iteration	commit	metric	delta	guard	status	description
21	-	31.16	+0.11	pass	keep	convert customer/customers to your customer/your customers in Article 4 note, Article 5 steps, Ad 7 copy
22	-	31.58	+0.42	pass	keep	convert business owner third-person references to you/your in creative direction notes (Ad 1 Reel note, Ad 2 visual, Ad 9/12)
23	-	31.99	+0.41	pass	keep	convert third-person viewer/travel business owner/business reputation references to direct you/your in creative direction notes
24	-	32.42	+0.43	pass	keep	convert viewer/audience/reader third-person to you/your in conversion-stage ad notes (Ad 7 creative, Ad 4 angle, Ad 11 verify, Ad 12 closing)
25	-	32.64	+0.22	pass	keep	convert businesses/reader/govoffice references to your business/you in creative direction and B2B article angle notes
26	-	32.80	+0.16	pass	keep	convert viewer/audience references to you in Ad 3 and Ad 2 creative direction notes
27	-	33.13	+0.33	pass	keep	convert resort-owner article note third-person to direct address; industry breakdown reader reference
28	-	33.36	+0.23	pass	keep	convert consumer article notes: third-person reader/audience/they to you/your in articles 3-4 notes
29	-	33.40	+0.04	pass	keep	convert audience/passive-readers to you/active-reader in I3 Why this works note
30	-	33.44	+0.04	pass	keep	convert consumer article 1 note reader references to you/your
31	-	33.48	+0.04	pass	keep	convert C9 movement-launch note audience/them to you/your
32	-	33.52	+0.04	pass	keep	convert Ad 8 Why this angle note business-owner to you; convert C2 every-reader to you
33	-	33.79	+0.27	pass	keep	convert B2B article 1/3/4 notes: reader third-person to you/your; bayanihan framing
34	-	33.91	+0.12	pass	keep	convert Ad 8 creative direction note, article 4/5 angle notes third-person to direct address
35	-	34.10	+0.19	pass	keep	convert Ad 9 angle note audience/them; revision note retargeted-audience; Phase placement note
36	-	34.14	+0.04	pass	keep	convert C6 audience-primed note; C1 audience-cant-scroll-past note
37	-	34.22	+0.08	pass	keep	convert SG1 that-person/them to you in booking checklist note; C7 audience-knows to you
38	-	34.29	+0.07	pass	keep	convert C3 audience-harder-to-process note and C7 audience-has-sent-that-DM note to direct you/your
39	-	34.33	+0.04	pass	keep	convert R4 Tutorial Reels posting guidance audience-is-relaxed to you're-relaxed / you'll-watch
40	-	34.37	+0.04	pass	keep	convert Ad 8 revision note awareness-stories-the-audience-has-seen to you've-already-seen
41	-	34.41	+0.04	pass	keep	convert Ad 9 note nobody-in-their-industry to last-in-your-industry
42	-	34.46	+0.05	pass	keep	convert Ad 1 Why-these-two-work note: Reel earns late-night saves from solo owners → earns save from you checking your phone
43	-	34.53	+0.07	pass	keep	convert Ad 6 Why-this-angle note: any-legitimate-travel-agent-has-lived → if-you're-a-legitimate-travel-agent-you've-lived
44	-	34.64	+0.11	pass	keep	Consumer Article 5 body: "older family members are particularly vulnerable" → "your nanay, your lola, your tita are particularly vulnerable" (+3 your)
45	-	34.72	+0.08	pass	keep	Consumer Article 3 Why-this-works note: align perspective — "Your reader / They've / their / giving them" → "You / You've / your / you have" for consistency
46	-	34.80	+0.08	pass	keep	Ad 2 Variation B creative note: "Anyone who has ever sent money" → "If you've ever sent money" (+2 you)
47	-	34.87	+0.07	pass	keep	Consumer Post C4 body: "it was possible to verify before they paid" → "you can verify before you pay" (active + direct, +2 you)
48	-	34.99	+0.12	pass	keep	C5 Why-this-works: "a brand they've eaten... whose face they know, whose packaging they recognize" → "you've eaten... you know... you recognize" (+3 you)
